id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,reviews_per_month,price
875689,5/23/11,1,within a few hours,100%,86%,f,11,t,t,Copacabana,-22.96651,-43.18376,Entire home/apt,7,3 baths,3,5,0.89,321
52260910,9/14/21,0,a few days or more,0%,0%,f,1,t,t,Ipanema,-22.984577,-43.213112,Entire home/apt,4,2 baths,2,3,0.17,1200
24063297,3/28/18,1,within an hour,100%,98%,t,2,t,t,Ipanema,-22.98148,-43.19896,Entire home/apt,4,1.5 baths,2,2,1.69,333
7.39767E+17,8/29/17,0,within an hour,100%,100%,f,1,t,t,Copacabana,-22.9829422,-43.1945316,Entire home/apt,2,1 bath,1,1,0.94,521
7.66479E+17,6/18/13,1,within an hour,100%,85%,f,2,t,t,Botafogo,-22.9484582,-43.1826996,Entire home/apt,2,2 baths,1,1,0.34,600
7.75381E+17,7/13/13,1,within a day,65%,62%,,4,t,t,Ipanema,-22.98515123,-43.19703804,Private room,1,2 baths,,1,0.5,100
1974039,11/22/13,1,within a few hours,93%,66%,f,3,t,t,Copacabana,-22.96695,-43.19,Entire home/apt,4,1 bath,1,4,0.75,266
10810298,11/28/15,0,within a day,100%,0%,,2,t,f,Copacabana,-22.98355,-43.19402,Private room,1,1 shared bath,,2,0.37,96
43712860,6/1/20,0,within an hour,100%,100%,f,28,t,t,Copacabana,-22.96979,-43.19057,Entire home/apt,2,1 bath,1,1,0.18,162
39840964,9/7/17,0,within an hour,100%,50%,f,1,t,t,Botafogo,-22.9516,-43.18254,Entire home/apt,7,1 bath,3,5,0.24,586
43049734,6/3/11,1,N/A,N/A,100%,,15,t,t,Vidigal,-22.99492,-43.23525,Private room,4,1 shared bath,,2,0.1,114
4226905,9/29/14,1,N/A,N/A,100%,,1,t,f,Copacabana,-22.97262,-43.19058,Private room,2,1 shared bath,,1,0.06,257
6.55609E+17,3/11/21,1,within a few hours,98%,65%,f,84,t,t,Copacabana,-22.9686599,-43.1814133,Entire home/apt,6,2.5 baths,3,4,0.24,1050
53799158,5/28/18,0,within an hour,100%,100%,,10,t,t,Copacabana,-22.98635,-43.18934,Private room,2,1 shared bath,,1,1.31,180
5.85492E+17,3/8/16,1,within a day,100%,100%,f,2,t,t,Copacabana,-22.97302,-43.18917,Entire home/apt,6,2.5 baths,2,2,0.1,690
8.31167E+17,2/19/23,0,N/A,N/A,N/A,f,1,t,t,Botafogo,-22.94668654,-43.18402558,Shared room,1,1 shared bath,,1,,150
7.40649E+17,5/3/14,0,within a few hours,100%,68%,f,1,t,f,Leblon,-22.98195,-43.22407,Entire home/apt,6,3 baths,3,5,1.64,1500
29133387,4/12/11,1,within an hour,100%,100%,t,7,t,t,Ipanema,-22.98279,-43.20052,Entire home/apt,4,1 bath,1,2,1.62,244
8.20895E+17,5/24/15,0,within a few hours,100%,67%,f,2,t,t,Leblon,-22.982519,-43.2231213,Entire home/apt,3,1 bath,1,2,0.94,333
7.5595E+17,11/17/19,1,within an hour,100%,97%,t,42,t,t,Botafogo,-22.9494664,-43.1822391,Entire home/apt,3,1 bath,1,2,2.77,198
7.305E+17,11/29/13,1,N/A,N/A,60%,,4,t,t,Botafogo,-22.95013601,-43.18650967,Private room,2,1 private bath,,1,,160
6131102,2/21/13,1,within an hour,100%,0%,f,5,t,f,Leblon,-22.98142,-43.21546,Entire home/apt,4,1 bath,1,2,0.08,400
31445481,1/27/15,0,within an hour,100%,98%,t,1,t,t,Botafogo,-22.94675,-43.18329,Entire home/apt,3,1 bath,1,2,2.15,230
9.07104E+17,1/20/21,0,within a few hours,100%,83%,f,2,t,f,Leblon,-22.9863651,-43.2237222,Entire home/apt,4,1.5 baths,2,1,,1000
8045391,12/8/13,1,within an hour,100%,86%,f,50,t,t,Copacabana,-22.98633,-43.18972,Entire home/apt,3,1 bath,,2,0.25,226
44444437,6/3/18,1,within a few hours,90%,53%,f,6,t,t,Jo,-23.01097488,-43.28865051,Entire home/apt,4,2.5 baths,2,2,0.09,4000
7.65208E+17,6/20/16,0,within a day,75%,0%,,1,t,f,Ipanema,-22.98237881,-43.20044681,Private room,2,1 shared bath,,1,,301
899314,1/21/13,1,within an hour,100%,100%,,2,t,t,Leblon,-22.98225,-43.22378,Entire home/apt,5,2.5 baths,2,2,0.27,1000
8.02897E+17,8/28/16,1,within an hour,100%,100%,t,31,t,t,Leblon,-22.982842,-43.2237989,Entire home/apt,3,1 bath,1,1,3.18,493
14907954,9/4/16,0,N/A,N/A,N/A,f,1,t,f,Copacabana,-22.96256,-43.17397,Entire home/apt,3,1 bath,1,2,,20000
6.6836E+17,10/31/21,0,within a few hours,90%,91%,f,15,t,t,Copacabana,-22.9677836,-43.1870252,Entire home/apt,7,2 baths,3,5,0.1,340
5.7878E+17,11/7/15,0,within an hour,100%,100%,f,1,t,t,Copacabana,-22.9764,-43.19018,Entire home/apt,6,3.5 baths,3,3,0.97,850
7.82468E+17,12/14/20,0,within a few hours,93%,100%,f,10,t,t,Copacabana,-22.96389,-43.17485,Entire home/apt,4,1 bath,1,2,0.68,241
6.94861E+17,8/16/22,0,N/A,N/A,33%,f,1,t,f,Copacabana,-22.96907,-43.18467,Entire home/apt,4,1 bath,1,1,0.1,1300
8.56957E+17,9/15/15,0,within a few hours,100%,100%,f,2,t,t,Copacabana,-22.9647066,-43.1755453,Entire home/apt,2,1 bath,1,1,0.37,220
46063310,2/13/17,0,N/A,N/A,29%,f,3,t,f,Leblon,-22.98319,-43.22199,Entire home/apt,6,2 baths,3,2,0.24,1100
7.06242E+17,3/18/16,1,N/A,N/A,0%,f,1,t,t,Copacabana,-22.96594,-43.17393,Private room,2,1 private bath,1,2,,350
8.37128E+17,10/6/13,1,within an hour,97%,45%,f,118,t,t,Ipanema,-22.98734,-43.19559,Entire home/apt,2,1 bath,1,1,0.98,350
8.18373E+17,4/9/15,1,N/A,N/A,0%,f,8,t,t,So Conrado,-22.9972686,-43.2769683,Entire home/apt,8,5 baths,4,6,,20000
8.86353E+17,2/20/21,1,within an hour,100%,92%,f,4,t,t,Copacabana,-22.97569185,-43.19088589,Private room,1,2 shared baths,,1,1,105
21762078,1/5/18,0,N/A,N/A,N/A,f,2,t,f,Copacabana,-22.96534,-43.17665,Entire home/apt,4,1 bath,1,2,1.12,279
19783406,1/15/16,0,N/A,N/A,N/A,t,1,t,t,Copacabana,-22.9834,-43.19164,Entire home/apt,2,1 bath,,2,3.19,168
4973237,3/25/14,0,N/A,N/A,N/A,f,2,t,f,Leme,-22.96131,-43.16826,Entire home/apt,4,2 baths,2,2,0.02,1436
42224040,4/15/14,0,within a few hours,93%,55%,f,65,t,t,Copacabana,-22.97569,-43.1891,Entire home/apt,4,2 baths,2,3,0.3,794
8949211,10/17/15,1,N/A,N/A,N/A,f,1,t,t,Flamengo,-22.93918,-43.17687,Entire home/apt,3,1.5 baths,2,3,0.29,200
6.96773E+17,4/10/21,0,within an hour,100%,100%,t,2,t,f,Copacabana,-22.9646551,-43.1769578,Entire home/apt,2,1 bath,1,1,3.92,204
53699298,3/25/13,1,within an hour,100%,100%,t,17,t,t,Copacabana,-22.96635246,-43.17935181,Entire home/apt,3,1 bath,1,2,1.26,362
